Bazat e Inteligjencës artificiale ,H,1
Nxjerrja e Informatave ,M,1
Teknologjia e komunikimeve optike ,M,1
Mikroprocesorët dhe mikrokontrollerët ,Mk,1
Instalimet elektrike dhe rrjetet e tensionit te ulët ,Mk,1
Telekomunikacion ,E,1
Transmetimi i të dhënave ,E,1
Sistemet digjitale të rregullimit ,P,1
Sisteme transmetuese ,P,1
Siguria në Internet ,H,2
Mbrojte rele ,H,2
Modeli i te dhënave dhe gjuhet e pyetesoreve ,M,2
Makinat Elektrike 2 ,M,2
Sensorët dhe akuatorët ,M,2
Tërheqje Elektrike ,M,2
Përpunimi digjital i sinjaleve ,Mk,2
Sistemet Operative ,Mk,2
Sistemet e ndërfutura ,Mk,2
Përpunimi digjital i sinjaleve ,Mk,2
Protokollet komunikuese ,E,2
Elektronika analoge ,E,2
Bazat e robotikës ,E,2
Gërmimi i të dhënave ,E,2
Rrjeta Elektrike ,E,2
Komunikime Mobile ,P,2
Mikroelektronika ,P,2
Grafika Kompjuterike ,P,2
Modelimi dhe simulimi ,P,2
Komunikimet mobile ,P,2
Instrumentacioni matës dhe DAQ ,P,2
Ndermarresia ,Sh,2
Programimi i shprendarë ,H,3
Elektronika energjetike ,H,3
Telekomunikacion ,H,3
Instrumentacioni matës ,M,3
Elektronikë ,M,3
Ngasjet Elektrike ,M,3
Teoria e informacionit ,Mk,3
Qarqet komunikuese analoge ,E,3
Inxhinieria softuerike ,E,3
Mikrovalë dhe antena ,E,3
Elektronika digjitale ,E,3
Dirigjimi në kohë reale ,E,3
Aplikacionet softuerike në SEE ,E,3
Sisteme komutuese ,P,3
Ekonomia Energjetike ,P,3
Optoelektronika ,P,3
Bartja dhe shpërndarja e energjisë elektrike ,P,3
Dirigjuesit e programueshëm logjik ,H,4
Rrjete komunikuese ,H,4
Hyrje në bioelektromagnetikë ,H,4
Dizajni dhe analiza e algoritmeve ,H,4
Web Shërbimet ,M,4
Televizioni digjital ,M,4
Tregu i energjisë ,M,4
Sistemet jolineare të rregullimit ,M,4